BusinessName,Rating,NumberOfReviews,Category,Address,Phone,Close,Website,GoogleReviewsLink,Industry,Location
Advanced Commercial Roofing,5.0,(21),Roofing contractor,N/A,·(404) 449-8109,Open 24 hours,N/A,https://www.google.com/maps/place/Advanced+Commercial+Roofing/data=!4m7!3m6!1s0x88f5a729246e0d2d:0x5b4e3d8e37ad5997!8m2!3d34.1162015!4d-84.5657515!16s%2Fg%2F11h22hz744!19sChIJLQ1uJCmn9YgRl1mtN449Tls?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
The Roof Pros,5.0,(1),Roofing contractor,N/A,·(678) 853-7114,Open 24 hours,N/A,https://www.google.com/maps/place/The+Roof+Pros/data=!4m7!3m6!1s0x88f5079c10b02cb7:0x26fda933ac150420!8m2!3d33.7927976!4d-84.186957!16s%2Fg%2F11f5tbj05z!19sChIJtyywEJwH9YgRIAQVrDOp_SY?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Palace Roofing Restoration & Gutters,4.9,(78),Roofing contractor,N/A,·(678) 665-1060,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/Palace+Roofing+Restoration+%26+Gutters/data=!4m7!3m6!1s0x88f50bf8eb9a02c9:0x1ad77a5cfaec0012!8m2!3d33.8836625!4d-84.3242735!16s%2Fg%2F1pzthwm9y!19sChIJyQKa6_gL9YgREgDs-lx61xo?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
ARC Roofing LLC,5.0,(1),Roofing contractor,N/A,·(404) 632-3520,Open⋅ Closes 7 PM,N/A,https://www.google.com/maps/place/ARC+Roofing+LLC/data=!4m7!3m6!1s0x5caa3e5e69780f7:0xbf9493cf7d5f5f24!8m2!3d32.6331075!4d-83.4545599!16s%2Fg%2F11wpks7zkq!19sChIJ94CX5uWjygURJF9ffc-TlL8?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
ATLIEN ROOFING & RESTORATION LLC,5.0,(4),Roofing contractor,N/A,·(404) 723-0284,Open⋅ Closes 6 PM,N/A,https://www.google.com/maps/place/ATLIEN+ROOFING+%26+RESTORATION+LLC/data=!4m7!3m6!1s0x6c80d76981fd9017:0xd039babbb69bd937!8m2!3d33.9076155!4d-84.610478!16s%2Fg%2F11rzhyz5zv!19sChIJF5D9gWnXgGwRN9mbtru6OdA?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
SRC- Select Roofing Consultants,3.9,(7),Roofing contractor,N/A,·(404) 863-2598,Open⋅ Closes 6 PM,N/A,https://www.google.com/maps/place/SRC-+Select+Roofing+Consultants/data=!4m7!3m6!1s0x88f5aa196b02fad3:0x605afa1bfdccc64c!8m2!3d33.7454297!4d-84.2529906!16s%2Fg%2F1ydpvcd16!19sChIJ0_oCaxmq9YgRTMbM_Rv6WmA?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
"RST Roofing and Renovations, LLC",4.9,(88),Roofing contractor,N/A,·(404) 548-8901,Open 24 hours,N/A,"https://www.google.com/maps/place/RST+Roofing+and+Renovations,+LLC/data=!4m7!3m6!1s0x88f5071d58d8e231:0x2ff7523cc7cdda82!8m2!3d33.8419797!4d-84.2645671!16s%2Fg%2F11h5vcspnc!19sChIJMeLYWB0H9YgRgtrNxzxS9y8?authuser=0&hl=en&rclk=1",Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
"Reasonable Roofing, LLC",5.0,(62),Roofing contractor,N/A,·(770) 569-3478,Open⋅ Closes 6 PM,N/A,"https://www.google.com/maps/place/Reasonable+Roofing,+LLC/data=!4m7!3m6!1s0x88f5a75afc75c729:0x983b4d35c0e3cc1c!8m2!3d32.67853!4d-83.1940624!16s%2Fg%2F11lh4zg2ml!19sChIJKcd1_Fqn9YgRHMzjwDVNO5g?authuser=0&hl=en&rclk=1",Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
"LPZ ROOFING, LLC",4.8,(84),Roofing contractor,N/A,·(770) 934-2877,Open⋅ Closes 6 PM,N/A,"https://www.google.com/maps/place/LPZ+ROOFING,+LLC/data=!4m7!3m6!1s0xc9342a429baccd:0xd594ee53d7f72888!8m2!3d33.731282!4d-84.3278884!16s%2Fg%2F11sqkjq3m_!19sChIJzaybQio0yQARiCj311PulNU?authuser=0&hl=en&rclk=1",Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Roberts Roofing and Restoration,4.2,(26),Roofing contractor,N/A,·(404) 378-9791,Open⋅ Closes 5:30 PM,N/A,https://www.google.com/maps/place/Roberts+Roofing+and+Restoration/data=!4m7!3m6!1s0x88f5016587003db3:0x8367c16deaddd780!8m2!3d33.7311253!4d-84.3417681!16s%2Fg%2F11c5x7b964!19sChIJsz0Ah2UB9YgRgNfd6m3BZ4M?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Premier Roofing Company,4.6,(20),Roofing contractor,N/A,·(470) 713-7663,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/Premier+Roofing+Company/data=!4m7!3m6!1s0x88f56b491d1719c9:0xbb264cb598c21821!8m2!3d33.8383469!4d-84.3244158!16s%2Fg%2F11t6z338yn!19sChIJyRkXHUlr9YgRIRjCmLVMJrs?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
LB Roofing and Construction,4.6,(44),Roofing contractor,N/A,·(404) 875-6222,Open⋅ Closes 6 PM,N/A,https://www.google.com/maps/place/LB+Roofing+and+Construction/data=!4m7!3m6!1s0x88f5041933b6ef33:0xedfa7860729b32c8!8m2!3d34.0467716!4d-84.3373885!16s%2Fg%2F1w1130dr!19sChIJM--2MxkE9YgRyDKbcmB4-u0?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Palace Roofing Restoration & Gutters,4.3,(6),Roofing contractor,N/A,·(678) 665-1060,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/Palace+Roofing+Restoration+%26+Gutters/data=!4m7!3m6!1s0x88f5a92c073ff045:0x4491e38e91eff5b9!8m2!3d33.850256!4d-84.194628!16s%2Fg%2F11fw4d27pd!19sChIJRfA_Byyp9YgRufXvkY7jkUQ?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Complete Precision Roofing LLC,5.0,(42),Roofing contractor,N/A,·(478) 215-4354,Open⋅ Closes 6 PM,N/A,https://www.google.com/maps/place/Complete+Precision+Roofing+LLC/data=!4m7!3m6!1s0x2ea68c00352bd1cf:0x9b8ab1b9e44e1842!8m2!3d32.67853!4d-83.1940624!16s%2Fg%2F11p6twrldf!19sChIJz9ErNQCMpi4RQhhO5Lmxips?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30003
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30003
Hive Roofing,5.0,(69),Roofing contractor,N/A,·(888) 345-4483,Open 24 hours,N/A,https://www.google.com/maps/place/Hive+Roofing/data=!4m7!3m6!1s0x6e56ad0bf6a10a07:0xd0b98e15519b1899!8m2!3d33.946415!4d-84.2289126!16s%2Fg%2F11p5mhmttd!19sChIJBwqh9gutVm4RmRibURWOudA?authuser=0&hl=en&rclk=1,Roofing,30003
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30003
Georgia's Best Roofer,4.9,(214),Roofing contractor,·6000 Dawson Blvd Suite B,·(404) 484-4658,Open 24 hours,N/A,https://www.google.com/maps/place/Georgia%27s+Best+Roofer/data=!4m7!3m6!1s0x88f5a788c3f536cb:0x6fe83ceb33158c8e!8m2!3d33.9069439!4d-84.2075817!16s%2Fg%2F11s0vd4b9c!19sChIJyzb1w4in9YgRjowVM-s86G8?authuser=0&hl=en&rclk=1,Roofing,30003
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30003
Best Choice Roofing,4.4,(253),Roofing contractor,N/A,·(770) 874-8785,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/Best+Choice+Roofing/data=!4m7!3m6!1s0x88f5117327d14b79:0x1f40480135df80c4!8m2!3d33.9201662!4d-84.187003!16s%2Fg%2F1v4k7bv0!19sChIJeUvRJ3MR9YgRxIDfNQFIQB8?authuser=0&hl=en&rclk=1,Roofing,30003
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30003
Roof Management Inc.,4.4,(14),Roofing contractor,·2775 Pacific Dr,·(770) 798-9102,Open⋅ Closes 6 PM,N/A,https://www.google.com/maps/place/Roof+Management+Inc./data=!4m7!3m6!1s0x88f5a129d4ffffff:0xefe1bdbe81043911!8m2!3d33.9373096!4d-84.2278155!16s%2Fg%2F11hczdzzjz!19sChIJ____1Cmh9YgRETkEgb694e8?authuser=0&hl=en&rclk=1,Roofing,30003
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30003
Arise Roofing & Restoration,5.0,(74),Roofing contractor,N/A,·(844) 600-9697,Open⋅ Closes 6 PM,N/A,https://www.google.com/maps/place/Arise+Roofing+%26+Restoration/data=!4m7!3m6!1s0x88f5b9810f68eba9:0x36a61f1bb30c93d2!8m2!3d33.9341277!4d-84.2218467!16s%2Fg%2F11hd6lfgld!19sChIJqetoD4G59YgR0pMMsxsfpjY?authuser=0&hl=en&rclk=1,Roofing,30003
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30003
GA Premium Roofing Inc,4.7,(165),Roofing contractor,N/A,·(770) 559-1503,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/GA+Premium+Roofing+Inc/data=!4m7!3m6!1s0x88f5a0e4d2ff3825:0x2076dd25df5d57d!8m2!3d33.9630086!4d-84.2354569!16s%2Fg%2F11c1vmtjt9!19sChIJJTj_0uSg9YgRfdX1XdJtBwI?authuser=0&hl=en&rclk=1,Roofing,30003
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30003
Roof Land GA,5.0,(25),Roofing contractor,N/A,·(470) 570-5337,Open⋅ Closes 9 PM,N/A,https://www.google.com/maps/place/Roof+Land+GA/data=!4m7!3m6!1s0xda965763df1278d:0x3665f73be8379be3!8m2!3d33.7673845!4d-84.420207!16s%2Fg%2F11w3mm1z03!19sChIJjSfxPXZlqQ0R45s36Dv3ZTY?authuser=0&hl=en&rclk=1,Roofing,30003
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30003
"Pro Roofing Contractor USA, LLC",4.7,(55),Roofing contractor,N/A,·(404) 642-5701,Open⋅ Closes 7 PM,N/A,"https://www.google.com/maps/place/Pro+Roofing+Contractor+USA,+LLC/data=!4m7!3m6!1s0x88f5bd4a0ad86777:0x8d231f6439a2ac96!8m2!3d33.9218872!4d-84.1680159!16s%2Fg%2F11qmqpyh98!19sChIJd2fYCkq99YgRlqyiOWQfI40?authuser=0&hl=en&rclk=1",Roofing,30003
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30003
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30004
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30004
Rackley Roofing & Supply Inc,4.9,(134),Roofing contractor,N/A,·(770) 771-8802,Open⋅ Closes 7 PM,N/A,https://www.google.com/maps/place/Rackley+Roofing+%26+Supply+Inc/data=!4m7!3m6!1s0x88f59dbc6c2d4131:0x8123ed9f6123a294!8m2!3d34.1370364!4d-84.2446211!16s%2Fg%2F11b6gcvmp1!19sChIJMUEtbLyd9YgRlKIjYZ_tI4E?authuser=0&hl=en&rclk=1,Roofing,30004
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30004
Rock House Roofing,4.9,(178),Roofing contractor,N/A,·(770) 655-8234,Open 24 hours,N/A,https://www.google.com/maps/place/Rock+House+Roofing/data=!4m7!3m6!1s0x88f57594768beb6d:0x50328f24953a0af2!8m2!3d34.0879565!4d-84.3397849!16s%2Fg%2F11h5rtx16z!19sChIJbeuLdpR19YgR8go6lSSPMlA?authuser=0&hl=en&rclk=1,Roofing,30004
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30004
Mighty Dog Roofing,5.0,(144),Roofing contractor,N/A,·(770) 824-9212,Open⋅ Closes 7 PM,N/A,https://www.google.com/maps/place/Mighty+Dog+Roofing/data=!4m7!3m6!1s0x88f5754e22159b65:0xca76e84365319c5f!8m2!3d34.0895318!4d-84.2707619!16s%2Fg%2F11rcyjn44v!19sChIJZZsVIk519YgRX5wxZUPodso?authuser=0&hl=en&rclk=1,Roofing,30004
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30004
Bird's Eye Roofing Company,4.9,(306),Roofing contractor,·44 Milton Ave Suite #100,·(770) 744-3358,Open⋅ Closes 5:30 PM,N/A,https://www.google.com/maps/place/Bird%27s+Eye+Roofing+Company/data=!4m7!3m6!1s0x88f57547dd59409b:0x500d76a8ccec171c!8m2!3d34.0754416!4d-84.2959691!16s%2Fg%2F11g6vgbqmg!19sChIJm0BZ3Ud19YgRHBfszKh2DVA?authuser=0&hl=en&rclk=1,Roofing,30004
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30004
Emergency Roofing Solutions,4.8,(207),Roofing contractor,·2440 Old Milton Pkwy # 300,·(678) 846-6535,Open 24 hours,N/A,https://www.google.com/maps/place/Emergency+Roofing+Solutions/data=!4m7!3m6!1s0x88f5a7eee912a917:0x6b887b58b5c7b1a8!8m2!3d34.0709775!4d-84.2886684!16s%2Fg%2F11q1d0m37g!19sChIJF6kS6e6n9YgRqLHHtVh7iGs?authuser=0&hl=en&rclk=1,Roofing,30004
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30004
Atlanta Metro Roofing,5.0,(137),Roofing contractor,N/A,·(770) 220-7263,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/Atlanta+Metro+Roofing/data=!4m7!3m6!1s0x88f57455994bfb47:0x16fb49099840c436!8m2!3d34.0676928!4d-84.3151027!16s%2Fg%2F1hc3y0pv3!19sChIJR_tLmVV09YgRNsRAmAlJ-xY?authuser=0&hl=en&rclk=1,Roofing,30004
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30004
Roof Maxx of Atlanta Georgia,5.0,(27),Roofing contractor,N/A,·(470) 450-7663,Open 24 hours,N/A,https://www.google.com/maps/place/Roof+Maxx+of+Atlanta+Georgia/data=!4m7!3m6!1s0x40a805e2e978e957:0x459e028abde51392!8m2!3d33.731282!4d-84.3137204!16s%2Fg%2F11x036w3vl!19sChIJV-l46eIFqEARkhPlvYoCnkU?authuser=0&hl=en&rclk=1,Roofing,30004
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30004
Guaranteed Roof,4.7,(104),Roofing contractor,N/A,·(470) 470-9655,Open 24 hours,N/A,https://www.google.com/maps/place/Guaranteed+Roof/data=!4m7!3m6!1s0x88f59d72c985a117:0xfde39a61458a47dc!8m2!3d34.126448!4d-84.2395488!16s%2Fg%2F11jsp4n6kn!19sChIJF6GFyXKd9YgR3EeKRWGa4_0?authuser=0&hl=en&rclk=1,Roofing,30004
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30004
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30005
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30005
"United Contracting and Roofing - Alpharetta, Georgia",5.0,(222),Roofing contractor,N/A,·(770) 829-0166,Open⋅ Closes 4:30 PM,N/A,"https://www.google.com/maps/place/United+Contracting+and+Roofing+-+Alpharetta,+Georgia/data=!4m7!3m6!1s0x88f59dab0ac7f87b:0x43ca5cf95643a459!8m2!3d34.1206333!4d-84.2027473!16s%2Fg%2F11twr8q67l!19sChIJe_jHCqud9YgRWaRDVvlcykM?authuser=0&hl=en&rclk=1",Roofing,30005
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30005
Atlanta's Best Roofing and Restoration,5.0,(85),Roofing contractor,N/A,·(770) 772-0663,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/Atlanta%27s+Best+Roofing+and+Restoration/data=!4m7!3m6!1s0xa6dc79c64b62f0f9:0xeb01f7b010bd648!8m2!3d34.0916639!4d-84.1986248!16s%2Fg%2F11t7qkts45!19sChIJ-fBiS8Z53KYRSNYLAXsfsA4?authuser=0&hl=en&rclk=1,Roofing,30005
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30005
Mr. Roofer of Alpharetta,4.7,(21),Roofing contractor,N/A,·(770) 983-6729,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/Mr.+Roofer+of+Alpharetta/data=!4m7!3m6!1s0x88f575650420b619:0x795e69761090bc84!8m2!3d34.0512088!4d-84.2783248!16s%2Fg%2F1ydpv9nvq!19sChIJGbYgBGV19YgRhLyQEHZpXnk?authuser=0&hl=en&rclk=1,Roofing,30005
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30005
Mighty Dog Roofing,5.0,(144),Roofing contractor,N/A,·(770) 824-9212,Open⋅ Closes 7 PM,N/A,https://www.google.com/maps/place/Mighty+Dog+Roofing/data=!4m7!3m6!1s0x88f5754e22159b65:0xca76e84365319c5f!8m2!3d34.0895318!4d-84.2707619!16s%2Fg%2F11rcyjn44v!19sChIJZZsVIk519YgRX5wxZUPodso?authuser=0&hl=en&rclk=1,Roofing,30005
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30005
Perimeter Roofing Alpharetta,4.7,(133),Roofing contractor,N/A,·(770) 501-7234,Open⋅ Closes 6 PM,N/A,https://www.google.com/maps/place/Perimeter+Roofing+Alpharetta/data=!4m7!3m6!1s0x88f57523cc4dd54d:0x9e6444bb9aac44ae!8m2!3d34.0704429!4d-84.2742149!16s%2Fg%2F11f75qd6rj!19sChIJTdVNzCN19YgRrkSsmrtEZJ4?authuser=0&hl=en&rclk=1,Roofing,30005
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30005
Veteran's Roofing Company,4.3,(81),Roofing contractor,·5490 McGinnis Village Pl Suite 140,·(404) 407-5000,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/Veteran%27s+Roofing+Company/data=!4m7!3m6!1s0x88f59fa57bf0fee5:0x2a839dadfe9762fc!8m2!3d34.0916639!4d-84.1986248!16s%2Fg%2F11r1rz4w9g!19sChIJ5f7we6Wf9YgR_GKX_q2dgyo?authuser=0&hl=en&rclk=1,Roofing,30005
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30005
Roofing Magic Atlanta,5.0,(93),Roofing contractor,·1005 Alderman Dr Suite 107,·(404) 595-3905,Open⋅ Closes 6 PM,N/A,https://www.google.com/maps/place/Roofing+Magic+Atlanta/data=!4m7!3m6!1s0x819fd3e648637611:0x3bf3ace23967d120!8m2!3d34.0947997!4d-84.243438!16s%2Fg%2F11t9mlch77!19sChIJEXZjSObTn4ERINFnOeKs8zs?authuser=0&hl=en&rclk=1,Roofing,30005
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30005
"Georgia Roofing & Repair, Inc.",5.0,(67),Roofing contractor,·4555 Mansell Rd Suite 301,·(678) 639-7663,Open⋅ Closes 5 PM,N/A,"https://www.google.com/maps/place/Georgia+Roofing+%26+Repair,+Inc./data=!4m7!3m6!1s0x88f575da3673419f:0x70a1087eee1e35c0!8m2!3d34.0394852!4d-84.2880269!16s%2Fg%2F11h64w6fms!19sChIJn0FzNtp19YgRwDUe7n4IoXA?authuser=0&hl=en&rclk=1",Roofing,30005
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30005
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30006
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30006
King Roof Renovations,4.6,(203),Roofing contractor,·1165 Northchase Pkwy SE Suite 305,·(678) 644-5941,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/King+Roof+Renovations/data=!4m7!3m6!1s0x88f511d19c6722f5:0x82a5618980ce8884!8m2!3d33.9249757!4d-84.4805065!16s%2Fg%2F11f60ydhrg!19sChIJ9SJnnNER9YgRhIjOgIlhpYI?authuser=0&hl=en&rclk=1,Roofing,30006
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30006
Mr. Roofer of Marietta,4.9,(76),Roofing contractor,N/A,·(770) 983-6514,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/Mr.+Roofer+of+Marietta/data=!4m7!3m6!1s0x88f51107369dcd51:0xa4979849d94c573b!8m2!3d33.902012!4d-84.482423!16s%2Fg%2F1ptync6kv!19sChIJUc2dNgcR9YgRO1dM2UmYl6Q?authuser=0&hl=en&rclk=1,Roofing,30006
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30006
